id,path,thumb,resolution,colors,tags
8okzqj,https://w.wallhaven.cc/full/8o/wallhaven-8okzqj.png,https://th.wallhaven.cc/lg/8o/8okzqj.jpg,2560x1440,#424153|#999999|#cccccc|#abbcda|#000000,动漫|风景|太空|插画|赛博朋克|冷色|暗黑
k9dwl1,https://w.wallhaven.cc/full/k9/wallhaven-k9dwl1.png,https://th.wallhaven.cc/lg/k9/k9dwl1.jpg,1366x768,#000000|#660000|#663300|#996633|#cc3333,太空|插画|赛博朋克|宁静
8o1qxo,https://w.wallhaven.cc/full/8o/wallhaven-8o1qxo.jpg,https://th.wallhaven.cc/lg/8o/8o1qxo.jpg,3001x2002,#cc3333|#000000|#660000|#cc0000|#990000,动漫|风景|城市|太空|抽象|赛博朋克|写实|温暖|冷色
gj78r3,https://w.wallhaven.cc/full/gj/wallhaven-gj78r3.png,https://th.wallhaven.cc/lg/gj/gj78r3.jpg,1920x1080,#999999|#e7d8b1|#424153|#cccccc|#ffffff,动漫|风景|城市|太空|抽象|写实|赛博朋克|冷色|温暖
wy9mk7,https://w.wallhaven.cc/full/wy/wallhaven-wy9mk7.jpg,https://th.wallhaven.cc/lg/wy/wy9mk7.jpg,1440x2880,#000000|#f5dd01|#cc6633|#424153|#cc3333,
1krow9,https://w.wallhaven.cc/full/1k/wallhaven-1krow9.png,https://th.wallhaven.cc/lg/1k/1krow9.jpg,1920x1080,#000000|#424153|#660000|#ff6600|#990000,太空
jee32p,https://w.wallhaven.cc/full/je/wallhaven-jee32p.png,https://th.wallhaven.cc/lg/je/jee32p.jpg,2560x1440,#000000|#424153|#660000|#990000|#cc0000,动漫|太空
p8z3gj,https://w.wallhaven.cc/full/p8/wallhaven-p8z3gj.jpg,https://th.wallhaven.cc/lg/p8/p8z3gj.jpg,3840x2160,#424153|#000000|#e7d8b1|#ffffff|#ea4c88,太空
5769z9,https://w.wallhaven.cc/full/57/wallhaven-5769z9.png,https://th.wallhaven.cc/lg/57/5769z9.jpg,2560x1440,#000000|#424153|#e7d8b1|#996633|#999999,动漫|风景|太空|抽象|插画|写实|冷色|温暖
kxx1rq,https://w.wallhaven.cc/full/kx/wallhaven-kxx1rq.jpg,https://th.wallhaven.cc/lg/kx/kxx1rq.jpg,1290x2796,#333399|#ffffff|#993399|#ea4c88|#663399,动漫|风景|太空|抽象|插画|赛博朋克|暗黑|宁静
eyg9gw,https://w.wallhaven.cc/full/ey/wallhaven-eyg9gw.jpg,https://th.wallhaven.cc/lg/ey/eyg9gw.jpg,3840x3840,#424153|#000000|#999999|#996633|#333399,风景|太空|写实
4ylgkl,https://w.wallhaven.cc/full/4y/wallhaven-4ylgkl.jpg,https://th.wallhaven.cc/lg/4y/4ylgkl.jpg,1920x1080,#424153|#000000|#999999|#663399|#abbcda,太空
83d19j,https://w.wallhaven.cc/full/83/wallhaven-83d19j.png,https://th.wallhaven.cc/lg/83/83d19j.jpg,1920x1080,#000000|#424153|#660000|#993399|#333399,
wq7g9x,https://w.wallhaven.cc/full/wq/wallhaven-wq7g9x.png,https://th.wallhaven.cc/lg/wq/wq7g9x.jpg,3840x2160,#cccccc|#424153|#ffffff|#999999|#000000,动漫|风景|太空|抽象|赛博朋克|温暖
5wg1g7,https://w.wallhaven.cc/full/5w/wallhaven-5wg1g7.png,https://th.wallhaven.cc/lg/5w/5wg1g7.jpg,3200x1800,#66cccc|#ffffff|#0099cc|#fdadc7|#abbcda,动漫|风景|城市|太空|抽象|插画|赛博朋克|冷色|温暖
m3zrmy,https://w.wallhaven.cc/full/m3/wallhaven-m3zrmy.png,https://th.wallhaven.cc/lg/m3/m3zrmy.jpg,1920x1080,#663399|#333399|#993399|#424153|#660000,动漫|风景|城市|太空|抽象|赛博朋克|写实|冷色|活力
v931m3,https://w.wallhaven.cc/full/v9/wallhaven-v931m3.png,https://th.wallhaven.cc/lg/v9/v931m3.jpg,2560x1440,#333399|#424153|#663399|#993399|#0099cc,动漫|风景|城市|太空|抽象|插画|赛博朋克|冷色|温暖
yjo88l,https://w.wallhaven.cc/full/yj/wallhaven-yjo88l.jpg,https://th.wallhaven.cc/lg/yj/yjo88l.jpg,2048x1371,#424153|#999999|#cccccc|#000000|#e7d8b1,
m9y67k,https://w.wallhaven.cc/full/m9/wallhaven-m9y67k.png,https://th.wallhaven.cc/lg/m9/m9y67k.jpg,3440x1440,#424153|#663399|#999999|#993399|#660000,太空|插画|赛博朋克
pkgpee,https://w.wallhaven.cc/full/pk/wallhaven-pkgpee.png,https://th.wallhaven.cc/lg/pk/pkgpee.jpg,3440x1440,#424153|#663399|#993399|#660000|#000000,风景|太空|插画
zxq1ev,https://w.wallhaven.cc/full/zx/wallhaven-zxq1ev.png,https://th.wallhaven.cc/lg/zx/zxq1ev.jpg,1920x1080,#0099cc|#f5dd01|#77cc33|#cc3333|#ff9900,动漫|风景|城市|太空|冷色|温暖
6oy186,https://w.wallhaven.cc/full/6o/wallhaven-6oy186.png,https://th.wallhaven.cc/lg/6o/6oy186.jpg,3440x1440,#424153|#663399|#993399|#999999|#abbcda,动漫|风景|城市|太空|抽象|插画|赛博朋克|活力|暗黑
3k9jl6,https://w.wallhaven.cc/full/3k/wallhaven-3k9jl6.png,https://th.wallhaven.cc/lg/3k/3k9jl6.jpg,1920x1080,#424153|#000000|#999999|#663300|#996633,
x1kxlv,https://w.wallhaven.cc/full/x1/wallhaven-x1kxlv.png,https://th.wallhaven.cc/lg/x1/x1kxlv.jpg,1920x1080,#663300|#996633|#000000|#424153|#cc6633,太空
qd3pdr,https://w.wallhaven.cc/full/qd/wallhaven-qd3pdr.jpg,https://th.wallhaven.cc/lg/qd/qd3pdr.jpg,1920x1080,#424153|#000000|#333399|#660000|#663399,动漫|风景|城市|太空|抽象|写实|插画|冷色|温暖
yjk9gx,https://w.wallhaven.cc/full/yj/wallhaven-yjk9gx.jpg,https://th.wallhaven.cc/lg/yj/yjk9gx.jpg,2560x1440,#cccccc|#999999|#fdadc7|#ea4c88|#ffffff,动漫
eyloxo,https://w.wallhaven.cc/full/ey/wallhaven-eyloxo.jpg,https://th.wallhaven.cc/lg/ey/eyloxo.jpg,4455x3150,#ffffff|#000000|#cc0000|#e7d8b1|#424153,
nz5w3v,https://w.wallhaven.cc/full/nz/wallhaven-nz5w3v.jpg,https://th.wallhaven.cc/lg/nz/nz5w3v.jpg,1920x1200,#424153|#000000|#996633|#663300|#cc6633,动漫|风景|城市|太空|抽象|插画|赛博朋克|温暖|暗黑
eoeldk,https://w.wallhaven.cc/full/eo/wallhaven-eoeldk.jpg,https://th.wallhaven.cc/lg/eo/eoeldk.jpg,1920x1200,#424153|#000000|#999999|#333399|#66cccc,风景|太空|插画
lq2xyp,https://w.wallhaven.cc/full/lq/wallhaven-lq2xyp.png,https://th.wallhaven.cc/lg/lq/lq2xyp.jpg,1920x1080,#000000|#424153|#999999|#663300|#996633,动漫|风景|冷色
0p9we3,https://w.wallhaven.cc/full/0p/wallhaven-0p9we3.jpg,https://th.wallhaven.cc/lg/0p/0p9we3.jpg,1848x1040,#000000|#424153|#996633|#663300|#cc6633,动漫|风景|城市|太空|抽象|赛博朋克|写实|温暖|冷色
95g698,https://w.wallhaven.cc/full/95/wallhaven-95g698.jpg,https://th.wallhaven.cc/lg/95/95g698.jpg,1920x1080,#000000|#424153|#333399|#0099cc|#0066cc,动漫|风景|城市|太空|赛博朋克|写实|冷色|温暖
o5dkk9,https://w.wallhaven.cc/full/o5/wallhaven-o5dkk9.png,https://th.wallhaven.cc/lg/o5/o5dkk9.jpg,1350x2400,#000000|#660000|#990000|#cc3333|#cc0000,动漫|风景|太空|抽象|插画|赛博朋克
5wz323,https://w.wallhaven.cc/full/5w/wallhaven-5wz323.jpg,https://th.wallhaven.cc/lg/5w/5wz323.jpg,7680x4320,#993399|#f5dd01|#ff9900|#663399|#ffff00,动漫|太空|插画|赛博朋克
57rox5,https://w.wallhaven.cc/full/57/wallhaven-57rox5.jpg,https://th.wallhaven.cc/lg/57/57rox5.jpg,1920x1200,#000000|#424153|#333399|#0066cc|#999999,动漫|风景|太空|赛博朋克|插画|温暖
j59edw,https://w.wallhaven.cc/full/j5/wallhaven-j59edw.jpg,https://th.wallhaven.cc/lg/j5/j59edw.jpg,1920x1080,#0066cc|#333399|#0099cc|#663399|#000000,太空
j55qkp,https://w.wallhaven.cc/full/j5/wallhaven-j55qkp.jpg,https://th.wallhaven.cc/lg/j5/j55qkp.jpg,2500x1406,#333399|#663399|#424153|#000000|#0066cc,风景|太空|赛博朋克|插画
gpo29e,https://w.wallhaven.cc/full/gp/wallhaven-gpo29e.png,https://th.wallhaven.cc/lg/gp/gpo29e.jpg,5780x2940,#0099cc|#424153|#0066cc|#336600|#cc6633,动漫|风景|城市|太空|赛博朋克|插画|温暖|暗黑
vm7w5p,https://w.wallhaven.cc/full/vm/wallhaven-vm7w5p.jpg,https://th.wallhaven.cc/lg/vm/vm7w5p.jpg,1920x1080,#424153|#993399|#999999|#ea4c88|#996633,动漫|风景|城市|太空|抽象|插画|写实|冷色|活力
eovd3o,https://w.wallhaven.cc/full/eo/wallhaven-eovd3o.png,https://th.wallhaven.cc/lg/eo/eovd3o.jpg,2160x3840,#ffffff|#cccccc|#424153|#000000|#999999,动漫|风景|城市|太空|插画|赛博朋克|冷色
8okdlo,https://w.wallhaven.cc/full/8o/wallhaven-8okdlo.jpg,https://th.wallhaven.cc/lg/8o/8okdlo.jpg,1920x1080,#000000|#424153|#660000|#ffff00|#abbcda,风景|太空|写实|赛博朋克
9djgpk,https://w.wallhaven.cc/full/9d/wallhaven-9djgpk.png,https://th.wallhaven.cc/lg/9d/9djgpk.jpg,3840x2160,#000000|#999999|#fdadc7|#424153|#ffcc33,太空
lqp33p,https://w.wallhaven.cc/full/lq/wallhaven-lqp33p.jpg,https://th.wallhaven.cc/lg/lq/lqp33p.jpg,2048x1448,#abbcda|#cccccc|#424153|#999999|#ffffff,风景|插画|冷色
136q33,https://w.wallhaven.cc/full/13/wallhaven-136q33.jpg,https://th.wallhaven.cc/lg/13/136q33.jpg,5120x2880,#000000|#663300|#424153|#996633|#660000,
